"ISIid","leadau","type","journal","year","volume","issue","bp","ep","refs","cites","authn","title"
"WOS:000332815600010","Padhi, A","Article","GENE",2014,"538","1","63","68",49,0,1,"Geographic variation within a tandemly repeated mitochondrial DNA D-loop region of a North American freshwater fish, Pylodictis olivaris "
"WOS:000332485800005","Star, B","Article","PLOS ONE",2014,"9","3","","",25,2,10,"Palindromic Sequence Artifacts Generated during Next Generation Sequencing Library Preparation from Historic and Ancient DNA "
"WOS:000334489400020","Zemeckis, DR","Article","NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT",2014,"34","2","424","442",251,4,3,"Spawning Dynamics and Associated Management Implications for Atlantic Cod "
"WOS:000332560300066","Kjesbu, OS","Article","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF",2014,"111","9","3478","3483",58,16,8,"Synergies between climate and management for Atlantic cod fisheries at high latitudes "
"WOS:000330164300009","Klomklao, S","Article","JOURNAL OF AQUATIC FOOD PRODUCT TECHNOLOGY",2014,"23","2","186","200",41,0,3,"Anionic Trypsin from the Pyloric Ceca of Pacific Saury (Cololabis saira): Purification and Biochemical Characteristics "
"WOS:000332415000002","Ovissipour, M","Article","AQUACULTURE RESEARCH",2014,"45","4","591","601",38,3,5,"Tuna viscera protein hydrolysate: nutritive and disease resistance properties for Persian sturgeon (Acipenser persicus L.) larvae "
"WOS:000334694300014","Jorstad, KE","Article","ICES JOURNAL OF MARINE SCIENCE",2014,"71","3","574","584",62,1,7,"Genetic marking of farmed Atlantic cod (Gadus morhua l.) and detection of escapes from a commercial cod farm "
"WOS:000334395800001","Breton, TS","Article","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS",2014,"9","","1","10",62,1,2,"Characterizing ovarian gene expression during oocyte growth in Atlantic cod (Gadus morhua) "
"WOS:000334395800002","Feng, JB","Article","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS",2014,"9","","11","22",86,2,10,"Channel catfish hemoglobin genes: Identification, phylogenetic and syntenic analysis, and specific induction in response to heat stress "
"WOS:000332739600006","Dai, P","Article","CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY",2014,"32","2","306","315",49,0,3,"Assessment of parental contribution and effective population size from a 3x3 diallel cross of clam Meretrix meretrix "
"WOS:000332834400003","Larson, WA","Article","EVOLUTIONARY APPLICATIONS",2014,"7","3","355","369",94,12,6,"Genotyping by sequencing resolves shallow population structure to inform conservation of Chinook salmon ( Oncorhynchus tshawytscha) "
"WOS:000332844300011","Killen, SS","Article","JOURNAL OF EXPERIMENTAL BIOLOGY",2014,"217","6","859","865",67,0,3,"Fast growers sprint slower: effects of food deprivation and re-feeding on sprint swimming performance in individual juvenile European sea bass "
"WOS:000332035900022","Hixson, SM","Article","JOURNAL OF ANIMAL SCIENCE",2014,"92","3","1055","1067",25,6,2,"Substitution of fish oil with camelina oil and inclusion of camelina meal in diets fed to Atlantic cod (Gadus morhua) and their effects on growth, tissue lipid classes, and fatty acids "
"WOS:000332152000008","Lefevre, S","Article","JOURNAL OF FISH BIOLOGY",2014,"84","3","705","731",144,5,7,"Air-breathing fishes in aquaculture. What can we learn from physiology? "
"WOS:000331959400014","Armsworthy, SL","Article","MARINE BIOLOGY",2014,"161","3","645","656",33,0,3,"Movements, environmental associations, and presumed spawning locations of Atlantic halibut (Hippoglossus hippoglossus) in the northwest Atlantic determined using archival satellite pop-up tags "
"WOS:000331959400020","Pimentel, M","Article","MARINE BIOLOGY",2014,"161","3","725","729",41,5,4,"Impact of ocean acidification in the metabolism and swimming behavior of the dolphinfish (Coryphaena hippurus) early larvae "
"WOS:000331721000001","Strelkov, P","Article","POLAR BIOLOGY",2014,"37","3","297","310",45,1,9,"Marine Lake Mogilnoe (Kildin Island, the Barents Sea): one hundred years of solitude "
"WOS:000331428700008","Aboagye, DL","Article","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE",2014,"169","","51","59",106,2,2,"Metabolic and locomotor responses of juvenile paddlefish Polyodon spathula to hypoxia and temperature "
"WOS:000331354400007","Passantino, L","Article","JOURNAL OF FISH DISEASES",2014,"37","3","241","250",68,4,9,"Liver melanomacrophage centres as indicators of Atlantic bluefin tuna, Thunnus thynnus L. well-being "
"WOS:000350209600006","Salinas, S","Article","EVOLUTIONARY ECOLOGY RESEARCH",2014,"16","3","267","284",74,0,2,"Phenotypic complexity: integrated responses of life-history characters to multiple environmental factors "
"WOS:000329299900004","Laugen, AT","Article","FISH AND FISHERIES",2014,"15","1","65","96",170,19,24,"Evolutionary impact assessment: accounting for evolutionary consequences of fishing in an ecosystem approach to fisheries management "
"WOS:000332349600003","Isomaa, M","Article","BOREAL ENVIRONMENT RESEARCH",2014,"19","1","39","50",80,1,3,"Precautionary management of Baltic Sea cod (Gadus morhua callarias) under different environmental noise and harvesting strategies "
"WOS:000332385900007","Groger, JP","Article","PLOS ONE",2014,"9","2","","",72,1,3,"Broad-Scale Climate Influences on Spring-Spawning Herring (Clupea harengus, L.) Recruitment in the Western Baltic Sea "
"WOS:000332382000025","Olafsdottir, GA","Article","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2014,"281","1777","","",82,3,4,"Historical DNA reveals the demographic history of Atlantic cod (Gadus morhua) in medieval and early modern Iceland "
"WOS:000330221900009","Wold, PA","Article","AQUACULTURE",2014,"422","","69","77",61,2,7,"Effects of membrane filtration on bacterial number and microbial diversity in marine recirculating aquaculture system (RAS) for Atlantic cod (Gadus morhua L.) production "
"WOS:000330221900033","Nicolaisen, O","Article","AQUACULTURE",2014,"422","","253","260",51,0,3,"Factorial experimental designs as tools to optimize rearing conditions of fish larvae "
"WOS:000334041700003","Lapointe, D","Article","DISEASES OF AQUATIC ORGANISMS",2014,"108","2","113","127",90,3,5,"Temperature, hypoxia, and mycobacteriosis: effects on adult striped bass Morone saxatilis metabolic performance "
"WOS:000332436300026","Podolska, M","Article","MARINE POLLUTION BULLETIN",2014,"79","1-2","100","106",73,1,3,"Acetylcholinesterase activity in the host-parasite system of the cod Gadus morhua and acanthocephalan Echinorhynchus gadi from the southern Baltic Sea "
"WOS:000331266000038","Nicolas, D","Article","PLOS ONE",2014,"9","2","","",76,1,4,"Spatio-Temporal Variability of the North Sea Cod Recruitment in Relation to Temperature and Zooplankton "
"WOS:000331258100001","Bousquet, N","Article","PLOS ONE",2014,"9","2","","",100,0,4,"Forecasting the Major Influences of Predation and Environment on Cod Recovery in the Northern Gulf of St. Lawrence "
"WOS:000324978700008","Jonsdottir, IG","Article","MARINE BIOLOGY RESEARCH",2014,"10","2","190","196",30,0,1,"Spatial distribution of Northern ambereye (Hymenodora glacialis) around Iceland "
"WOS:000330722700002","Kaldestad, M","Article","DISEASES OF AQUATIC ORGANISMS",2014,"108","1","11","21",34,0,5,"Antibiotic uptake by cultured Atlantic cod leucocytes and effect on intracellular Francisella noatunensis subsp noatunensis replication "
"WOS:000336083200005","Gunnarsson, A","Article","JOURNAL OF FISH BIOLOGY",2014,"84","2","339","353",58,0,1,"Atlantic wolf-fish Anarhichas lupus population diversity: growth and maturation "
"WOS:000332374600002","Abrams, PA","Article","ANTARCTIC SCIENCE",2014,"26","1","3","13",85,2,1,"How precautionary is the policy governing the Ross Sea Antarctic toothfish (Dissostichus mawsoni) fishery? "
"WOS:000332372300017","Hemmer-Hansen, J","Article","CONSERVATION GENETICS",2014,"15","1","213","228",95,5,4,"Conserving marine biodiversity: insights from life-history trait candidate genes in Atlantic cod (Gadus morhua) "
"WOS:000331600200009","Peer, AC","Article","NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT",2014,"34","1","94","110",70,2,2,"Climate Change, Migration Phenology, and Fisheries Management Interact with Unanticipated Consequences "
"WOS:000331546000006","Marentette, JR","Article","ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY",2014,"66","2","227","236",47,3,5,"Selecting Optimal Eggs and Embryonic Developmental Stages of Fathead Minnow (Pimephales promelas) for Early Life-Stage Toxicity Tests "
"WOS:000331663800005","Tiippel, EA","Article","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY",2014,"451","","35","43",66,0,6,"Effects of reproduction on growth and survival in Atlantic cod, Gadus morhua, assessed by comparison to triploids "
"WOS:000331451100003","Minto, C","Article","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",2014,"71","2","203","216",70,9,4,"Productivity dynamics of Atlantic cod "
"WOS:000331189000010","Kendall, NW","Article","EVOLUTIONARY APPLICATIONS",2014,"7","2","313","322",54,2,5,"Evolution of age and length at maturation of Alaskan salmon under size-selective harvest "
"WOS:000330924400010","Jensen, IJ","Article","NUTRITION RESEARCH",2014,"34","2","168","173",20,0,4,"The potential of cod hydrolyzate to inhibit blood pressure in spontaneously hypertensive rats "
"WOS:000330634900013","Gaulke, GL","Article","FISH PHYSIOLOGY AND BIOCHEMISTRY",2014,"40","1","129","140",59,1,4,"Acclimation to a low oxygen environment alters the hematology of largemouth bass (Micropterus salmoides) "
"WOS:000330634900017","Ludvigsen, S","Article","FISH PHYSIOLOGY AND BIOCHEMISTRY",2014,"40","1","173","181",44,0,6,"Evoked potentials in the Atlantic cod following putatively innocuous and putatively noxious electrical stimulation: a minimally invasive approach "
"WOS:000330312000016","Duan, Y","Article","JOURNAL OF OCEAN UNIVERSITY OF CHINA",2014,"13","1","132","140",76,0,4,"Effect of dissolved oxygen on swimming ability and physiological response to swimming fatigue of whiteleg shrimp (Litopenaeus vannamei) "
"WOS:000329939600020","Trejchel, K","Article","AQUACULTURE INTERNATIONAL",2014,"22","1","195","203",32,1,7,"Determination of the optimal feeding rate and light regime conditions in juvenile burbot, Lota lota (L.), under intensive aquaculture "
"WOS:000329939600025","Kamaszewski, M","Article","AQUACULTURE INTERNATIONAL",2014,"22","1","245","258",48,1,2,"The effect of feeding on morphological changes in intestine of pike-perch (Sander lucioperca L.) "
"WOS:000329980000011","Vandamme, SG","Article","MOLECULAR ECOLOGY",2014,"23","3","618","636",124,2,13,"Regional environmental pressure influences population differentiation in turbot (Scophthalmus maximus) "
"WOS:000329794700001","Benoit, D","Article","POLAR BIOLOGY",2014,"37","2","149","163",69,1,3,"Pre-winter distribution and habitat characteristics of polar cod (Boreogadus saida) in southeastern Beaufort Sea "
"WOS:000329536400017","Cronin, M","Article","MARINE POLICY",2014,"44","","120","130",73,2,4,"Fishery-seal interactions in Irish waters: Current perspectives and future research priorities "
"WOS:000328873600007","Doya, C","Article","JOURNAL OF MARINE SYSTEMS",2014,"130","","69","78",63,5,8,"Diel behavioral rhythms in sablefish (Anoplopoma fimbria) and other benthic species, as recorded by the Deep-sea cabled observatories in Barkley canyon (NEPTUNE-Canada) "
"WOS:000331503700011","Skugor, A","Article","ANIMAL REPRODUCTION SCIENCE",2014,"144","3-4","129","137",60,1,4,"Knockdown of the germ cell factor Dead end induces multiple transcriptional changes in Atlantic cod (Gadus morhua) hatchlings "
"WOS:000330617100062","Yu, Y","Article","PLOS ONE",2014,"9","1","","",46,5,7,"SNP Discovery in the Transcriptome of White Pacific Shrimp Litopenaeus vannamei by Next Generation Sequencing "
"WOS:000332008900002","Nielsen, HM","Article","GENETICS SELECTION EVOLUTION",2014,"46","","","",30,1,7,"Direct and social genetic parameters for growth and fin damage traits in Atlantic cod (Gadus morhua) "
"WOS:000334009200010","Bangera, R","Article","AQUACULTURE",2014,"420","","S50","S56",40,0,9,"Genetic analysis of francisellosis field outbreak in Atlantic cod (Gadus morhua L.) using an ordinal threshold model "
"WOS:000330087500008","Timi, JT","Article","VETERINARY PARASITOLOGY",2014,"199","1-2","59","72",102,4,10,"Molecular identification, morphological characterization and new insights into the ecology of larval Pseudoterranova cattani in fishes from the Argentine coast with its differentiation from the Antarctic species, P. decipiens sp E (Nematocia: Anisakidae) "
"WOS:000331423100047","Braune, BM","Article","MARINE POLLUTION BULLETIN",2014,"78","1-2","258","266",72,7,8,"Organohalogen contaminants and total mercury in forage fish preyed upon by thick-billed murres in northern Hudson Bay "
"WOS:000329071300040","Drangsholt, TMK","Article","AQUACULTURE",2014,"420","","282","287",35,2,3,"Quantitative genetics of behavioral responsiveness in Atlantic cod (Gadus morhua L.) "
"WOS:000359668000004","Jansson, E","Article","DISEASES AND DISORDERS OF FINFISH IN CAGE CULTURE, 2ND EDITION",2014,"","","15","59",271,0,2,"Infectious Diseases of Coldwater Fish in Marine and Brackish Waters "
"WOS:000359668000006","Schmidt-Posthaus, H","Article","DISEASES AND DISORDERS OF FINFISH IN CAGE CULTURE, 2ND EDITION",2014,"","","114","154",323,0,2,"Non-infectious Disorders of Coldwater Fish "
"WOS:000355122900009","Delgado, AL","Article","MARINE ECOLOGY IN A CHANGING WORLD",2014,"","","194","218",148,0,2,"World Fisheries and Climate Trend "
"WOS:000354894300013","Lillehaug, A","Article","FISH VACCINATION",2014,"","","140","152",39,2,1,"Vaccination Strategies and Procedures "
"WOS:000345703500023","Tsikliras, AC","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"515","","281","284",22,2,2,"Mean temperature of the catch increases quickly in the Mediterranean Sea "
"WOS:000344531600003","Kandjou, K","Article","AFRICAN JOURNAL OF AQUATIC SCIENCE",2014,"39","3","263","270",64,0,2,"Diurnal and water salinity-dependent metabolic activity of juvenile white steenbras Lithognathus lithognathus "
"WOS:000343638100014","Trojette, M","Article","CAHIERS DE BIOLOGIE MARINE",2014,"55","4","499","506",35,0,7,"Applying Sagitta otolith shape in the discrimination of fish populations Scorpaena porcus (Linnaeus, 1758) (Scorpaenidae) in the Tunisian coasts "
"WOS:000343227400006","Dietrich, MA","Article","REPRODUCTION FERTILITY AND DEVELOPMENT",2014,"26","8","1117","1128",43,1,5,"Isolation, characterisation and cDNA sequencing of a new form of parvalbumin from carp semen "
"WOS:000341699500001","Simons, SL","Article","AQUATIC LIVING RESOURCES",2014,"27","1","1","16",80,0,3,"Modelling the spatio-temporal interplay between North Sea saithe (Pollachius virens) and multiple fleet segments for management evaluation "
"WOS:000341214100038","Coppock, RW","Article","BIOMARKERS IN TOXICOLOGY",2014,"","","647","654",71,0,2,"Biomarkers of petroleum products toxicity "
"WOS:000341066400002","Hutniczak, B","Article","MARINE RESOURCE ECONOMICS",2014,"29","3","201","217",40,2,1,"Increasing Pressure on Unregulated Species Due to Changes in Individual Vessel Quotas: An Empirical Application to Trawler Fishing in the Baltic Sea "
"WOS:000341066400005","Lee, MY","Article","MARINE RESOURCE ECONOMICS",2014,"29","3","259","277",60,5,1,"Hedonic Pricing of Atlantic Cod: Effects of Size, Freshness, and Gear "
"WOS:000340887300001","Kneebone, J","Article","TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY",2014,"143","5","1115","1129",37,1,5,"Movement Patterns and Stock Composition of Adult Striped Bass Tagged in Massachusetts Coastal Waters "
"WOS:000340248000002","Braaten, HFV","Article","INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY",2014,"94","9","863","873",23,0,4,"Effects of sample preparation on methylmercury concentrations in Arctic organisms "
"WOS:000340074000005","Lewisch, E","Article","BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS",2014,"34","2","63","70",34,0,5,"Francisellosis in ornamental African cichlids in Austria "
"WOS:000339244600034","Titos, G","Article","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,"14","13","7031","7043",43,8,7,"Aerosol light-scattering enhancement due to water uptake during the TCAP campaign "
"WOS:000338728600001","DellApa, A","Article","TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY",2014,"143","4","833","844",30,1,4,"Sexual Segregation of Spiny Dogfish in Fishery-Dependent Surveys in Cape Cod, Massachusetts: Potential Management Benefits "
"WOS:000338120600007","Fjelldal, PG","Article","AQUACULTURE ENVIRONMENT INTERACTIONS",2014,"5","2","155","162",46,1,5,"Triploid (sterile) farmed Atlantic salmon males attempt to spawn with wild females "
"WOS:000338107000004","Brewer, JF","Article","SOCIETY & NATURAL RESOURCES",2014,"27","7","724","741",54,0,1,"Hog Daddy and the Walls of Steel: Catch Shares and Ecosystem Change in the New England Groundfishery "
"WOS:000337892600001","Rossi-Wongtschowski, CLD","Article","BRAZILIAN JOURNAL OF OCEANOGRAPHY",2014,"62","","1","103",86,0,6,"ATLAS OF MARINE BONY FISH OTOLITHS (SAGITTAE) OF SOUTHEASTERN-SOUTHERN BRAZIL PART I: GADIFORMES (MACROURIDAE, MORIDAE, BREGMACEROTIDAE, PHYCIDAE AND MERLUCCIIDAE) PART II: PERCIFORMES (CARANGIDAE, SCIAENIDAE, SCOMBRIDAE AND SERRANIDAE) "
"WOS:000338120000019","Grabowski, TB","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"506","","279","290",65,2,3,"Spawning behavior in Atlantic cod: analysis by use of data storage tags "
"WOS:000337669000009","Sanchez-Serrano, S","Article","NORTH AMERICAN JOURNAL OF AQUACULTURE",2014,"76","3","245","254",51,0,4,"Short and Long-Term Preservation of Sablefish Sperm from Baja California, Mexico "
"WOS:000335555900009","Jain, AD","Article","REMOTE SENSING",2014,"6","1","180","208",69,0,5,"Feasibility of Ocean Acoustic Waveguide Remote Sensing ( OAWRS) of Atlantic Cod with Seafloor Scattering Limitations "
"WOS:000333431100004","Palumbi, SR","Article","MARINE COMMUNITY ECOLOGY AND CONSERVATION",2014,"","","57","83",223,0,2,"Marine Dispersal, Ecology, and Conservation "
"WOS:000333431100015","Fisher, JAD","Article","MARINE COMMUNITY ECOLOGY AND CONSERVATION",2014,"","","337","363",227,0,2,"Pelagic Communities "
"WOS:000335963100001","Murray, CS","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"504","","1","11",62,14,4,"Offspring sensitivity to ocean acidification changes seasonally in a coastal marine fish "
"WOS:000335963100020","Rooker, JR","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"504","","265","276",40,5,13,"Crossing the line: migratory and homing behaviors of Atlantic bluefin tuna "
"WOS:000335963100022","Silva, L","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"504","","287","300",85,3,4,"Ontogeny of swimming behaviour in sardine Sardina pilchardus larvae and effect of larval nutritional condition on critical speed "
"WOS:000335583000005","Beirao, J","Article","AQUACULTURE ENVIRONMENT INTERACTIONS",2014,"5","1","61","70",62,1,4,"Wild Atlantic cod sperm motility is negatively affected by ovarian fluid of farmed females "
"WOS:000335581700016","Shapiera, M","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"503","","235","246",65,0,5,"Season and site fidelity determine home range of dispersing and resident juvenile Greenland cod Gadus ogac in a Newfoundland fjord "
"WOS:000333958800012","Lidgard, DC","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"501","","157","168",74,2,4,"Predator-borne acoustic transceivers and GPS tracking reveal spatiotemporal patterns of encounters with acoustically tagged fish in the open ocean "
"WOS:000333000200007","Holan, AB","Article","AQUACULTURAL ENGINEERING",2014,"58","","52","58",55,0,3,"Intensive rearing of cod larvae (Gadus morhua) in recirculating aquaculture systems (RAS) implementing a membrane bioreactor (MBR) for enhanced colloidal particle and fine suspended solids removal "
"WOS:000332679400009","Rybczyk, A","Article","OCEANOLOGIA",2014,"56","1","159","163",16,0,3,"First record of brown colouration of Atlantic cod (Gadus morhua, L.) from the North Sea "
"WOS:000332490900007","Brewer, JF","Article","INTERNATIONAL JOURNAL OF THE COMMONS",2014,"8","1","155","178",58,0,1,"Harvesting a knowledge commons: collective action, transparency, and innovation at the Portland Fish Exchange "
"WOS:000331671600014","Lazado, CC","Article","FISH & SHELLFISH IMMUNOLOGY",2014,"36","1","113","119",43,4,2,"Probiotics-pathogen interactions elicit differential regulation of cutaneous immune responses in epidermal cells of Atlantic cod Gadus morhua "
"WOS:000331671600033","Furnes, C","Article","FISH & SHELLFISH IMMUNOLOGY",2014,"36","1","276","283",38,0,6,"Isolation and characterisation of two cDNAs encoding transglutaminase from Atlantic cod (Gadus morhua) "
"WOS:000331418600036","Tolstorebrov, I","Article","FOOD RESEARCH INTERNATIONAL",2014,"55","","303","310",34,2,3,"A DSC study of phase transition in muscle and oil of the main commercial fish species from the North-Atlantic "
"WOS:000330950900006","Pinsky, ML","Article","MOLECULAR ECOLOGY",2014,"23","1","29","39",49,17,2,"Meta-analysis reveals lower genetic diversity in overfished populations "
"WOS:000330950900012","Milano, I","Article","MOLECULAR ECOLOGY",2014,"23","1","118","135",87,13,19,"Outlier SNP markers reveal fine-scale genetic structuring across European hake populations (Merluccius merluccius) "
"WOS:000330723600014","Marty, L","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"497","","179","197",84,4,3,"Temporal trends in age and size at maturation of four North Sea gadid species: cod, haddock, whiting and Norway pout "
"WOS:000330356500002","Wright, S","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"496","","19","32",85,6,4,"Estimating activity-specific energy expenditure in a teleost fish, using accelerometer loggers "
"WOS:000330356000020","Beirao, J","Article","MARINE ECOLOGY PROGRESS SERIES",2014,"495","","263","274",47,4,4,"Sperm plasticity to seawater temperatures in Atlantic cod Gadus morhua is affected more by population origin than individual environmental exposure "
"WOS:000329884700021","Reubens, JT","Article","JOURNAL OF SEA RESEARCH",2014,"85","","214","221",61,7,4,"Diel variation in feeding and movement patterns of juvenile Atlantic cod at offshore wind farms "
"WOS:000329487400021","Wirgin, I","Article","TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY",2014,"143","1","240","251",31,4,5,"Coastwide Stock Structure of Winter Flounder Using Nuclear DNA Analyses "
"WOS:000329217900014","Spencer, PD","Article","CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES",2014,"71","1","151","161",37,3,3,"The influence of maternal effects in larval survival on fishery harvest reference points for two life-history patterns "
"WOS:000329323400012","Bigg, GR","Article","EVOLUTIONARY ECOLOGY",2014,"28","1","177","191",54,0,1,"Environmental confirmation of multiple ice age refugia for Pacific cod, Gadus macrocephalus "
"WOS:000329241600009","Hixson, SM","Article","LIPIDS",2014,"49","1","97","111",58,6,3,"Changes in Tissue Lipid and Fatty Acid Composition of Farmed Rainbow Trout in Response to Dietary Camelina Oil as a Replacement of Fish Oil "
"WOS:000328715700007","Avigliano, E","Article","FISHERIES RESEARCH",2014,"149","","55","60",33,3,3,"Combined use of otolith microchemistry and morphometry as indicators of the habitat of the silverside (Odontesthes bonariensis) in a freshwater-estuarine environment "
"WOS:000328849600004","Nielsen, J","Article","POLAR BIOLOGY",2014,"37","1","37","46",40,2,4,"Distribution and feeding ecology of the Greenland shark (Somniosus microcephalus) in Greenland waters "
"WOS:000327743200005","Beggs, SE","Article","FISHERIES OCEANOGRAPHY",2014,"23","1","54","64",63,2,4,"Linking cod (Gadus morhua) and climate: investigating variability in Irish Sea cod recruitment "
"WOS:000327743200007","Vanderlaan, ASM","Article","FISHERIES OCEANOGRAPHY",2014,"23","1","83","100",75,2,4,"Environmental influences on Atlantic bluefin tuna (Thunnus thynnus) catch per unit effort in the southern Gulf of St. Lawrence "
"WOS:000327498100010","Eiriksson, GM","Article","ENVIRONMENTAL BIOLOGY OF FISHES",2014,"97","1","103","110",43,1,2,"Mitochondrial DNA sequence variation in whiting Merlangius merlangus in the North East Atlantic "
"WOS:000325600600036","Blanchard, A","Article","MARINE POLICY",2014,"43","","313","320",51,3,10,"Harmful routines? Uncertainty in science and conflicting views on routine petroleum operations in Norway "
"WOS:000330346400013","Sanden, M","Article","BRITISH JOURNAL OF NUTRITION",2013,"110","12","2222","2233",41,1,7,"Cross-generational feeding of Bt (Bacillus thuringiensis)-maize to zebrafish (Danio rerio) showed no adverse effects on the parental or offspring generations "
"WOS:000329524000002","Jutfelt, F","Article","FRONTIERS IN ZOOLOGY",2013,"10","","","",34,3,2,"Atlantic cod actively avoid CO2 and predator odour, even after long-term CO2 exposure "
"WOS:000329629100001","Duodu, S","Article","BMC VETERINARY RESEARCH",2013,"9","","","",22,1,8,"An improved multiple-locus variable-number of tandem repeat analysis (MLVA) for the fish pathogen Francisella noatunensis using capillary electrophoresis "
"WOS:000328731800122","Wang, L","Article","PLOS ONE",2013,"8","12","","",97,7,6,"Population Genetic Studies Revealed Local Adaptation in a High Gene-Flow Marine Fish, the Small Yellow Croaker (Larimichthys polyactis) "
"WOS:000326823000006","Remen, M","Article","AQUACULTURE",2013,"416","","41","47",52,3,5,"Hypoxia tolerance thresholds for post-smolt Atlantic salmon: Dependency of temperature and hypoxia acclimation "
"WOS:000326823000022","Imsland, AK","Article","AQUACULTURE",2013,"416","","152","160",46,2,8,"Long-term effect of photoperiod manipulation on growth, maturation and flesh quality in turbot "
"WOS:000326823000035","Gallego, V","Article","AQUACULTURE",2013,"416","","238","243",31,3,4,"Relationship between spermatozoa motility parameters, sperm/egg ratio, and fertilization and hatching rates in pufferfish (Takifugu niphobles) "
"WOS:000334014300006","Lu, HJ","Article","JOURNAL OF MARINE SCIENCE AND TECHNOLOGY-TAIWAN",2013,"21","","31","40",43,1,3,"AGE AND GROWTH STUDY OF THE JACK MACKEREL (Trachurus japonicus) IN THE NORTHEATERN WATERS OFF TAIWAN "
"WOS:000332749800007","Curchitser, EN","Article","OCEANOGRAPHY",2013,"26","4","52","67",94,7,5,"Advances in Physical, Biological, and Coupled Ocean Models During the US GLOBEC Program "
"WOS:000332749800011","Fogarty, MJ","Article","OCEANOGRAPHY",2013,"26","4","116","127",64,5,3,"Legacy of the US GLOBEC Program Current and Potential Contributions to Marine Ecosystem-Based Management "
"WOS:000330156900001","Puckrin, OA","Article","AQUACULTURE ENVIRONMENT INTERACTIONS",2013,"4","3","207","221",81,1,3,"Using purposeful inbreeding to reduce outbreeding depression caused by escaped farmed Atlantic cod "
"WOS:000330158800008","Brudeseth, BE","Article","FISH & SHELLFISH IMMUNOLOGY",2013,"35","6","1759","1768",87,12,9,"Status and future perspectives of vaccines for industrialised fin-fish farming "
"WOS:000329415800025","Leppanen, AP","Article","JOURNAL OF ENVIRONMENTAL RADIOACTIVITY",2013,"126","","196","208",48,1,5,"Selected anthropogenic and natural radioisotopes in the Barents Sea and off the western coast of Svalbard "
"WOS:000329227100009","McDermott, JJ","Article","NORTHEASTERN NATURALIST",2013,"20","4","578","586",29,2,1,"The Distribution of Ocypode quadrata, Atlantic Ghost Crab (Decapoda: Brachyura: Ocypodidae) Megalopae, beyond the Presumptive Northern Boundary of Adult Populations in the Northwest Atlantic "
"WOS:000329142900002","Citta, JJ","Article","ARCTIC",2013,"66","4","389","406",55,3,5,"Dive Behavior of Eastern Chukchi Beluga Whales (Delphinapterus leucas), 1998-2008 "
"WOS:000328660200018","Brewer, JF","Article","GEOFORUM",2013,"50","","172","181",92,0,1,"Making an environmental market, unmaking adaptive capacity: Species commodification in the New England groundfishery "
"WOS:000329148900005","Sinnatamby, RN","Article","JOURNAL OF THERMAL BIOLOGY",2013,"38","8","493","501",111,1,4,"Thermal habitat use and growth in young-of-the-year Arctic charr from proximal fluvial and lacustrine populations in Labrador, Canada "
"WOS:000328712600016","Wilson, JA","Article","ECOLOGICAL ECONOMICS",2013,"96","","165","172",50,4,3,"The cost of useful knowledge and collective action in three fisheries "
"WOS:000328528700007","Xu, QH","Article","COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS",2013,"8","4","317","333",91,3,6,"Family-specific differences in growth rate and hepatic gene expression in juvenile triploid growth hormone (GH) transgenic Atlantic salmon (Salmo salar) "
"WOS:000328336100005","Stroganov, AN","Article","RUSSIAN JOURNAL OF GENETICS",2013,"49","12","1207","1212",31,1,5,"Comparative analysis of genetic variability of white sea cod (Gadus morhua marisalbi) at allozyme and microsatellite markers "
